,Reason1,Reason2,Reason3,Reason4,Month Value,Day of Week,Date,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,0,0,1,7,1,2015-07-07,289,36,33,239.554,30,0,2,1,4
1,0,0,0,0,7,1,2015-07-14,118,13,50,239.554,31,0,1,0,0
2,0,0,0,1,7,2,2015-07-15,179,51,38,239.554,31,0,0,0,2
3,1,0,0,0,7,3,2015-07-16,279,5,39,239.554,24,0,2,0,4
4,0,0,0,1,7,3,2015-07-23,289,36,33,239.554,30,0,2,1,2
5,0,0,0,1,7,4,2015-07-10,179,51,38,239.554,31,0,0,0,2
6,0,0,0,1,7,4,2015-07-17,361,52,28,239.554,27,0,1,4,8
7,0,0,0,1,7,4,2015-07-24,260,50,36,239.554,23,0,4,0,4
8,0,0,1,0,7,0,2015-07-06,155,12,34,239.554,25,0,2,0,40
9,0,0,0,1,7,0,2015-07-13,235,11,37,239.554,29,1,1,1,8
10,1,0,0,0,7,0,2015-07-20,260,50,36,239.554,23,0,4,0,8
11,1,0,0,0,7,1,2015-07-14,260,50,36,239.554,23,0,4,0,8
12,1,0,0,0,7,2,2015-07-15,260,50,36,239.554,23,0,4,0,8
13,1,0,0,0,7,2,2015-07-15,179,51,38,239.554,31,0,0,0,1
14,0,0,0,1,7,2,2015-07-15,179,51,38,239.554,31,0,0,0,4
15,1,0,0,0,7,4,2015-07-17,246,25,41,239.554,23,0,0,0,8
16,0,0,0,1,7,4,2015-07-17,179,51,38,239.554,31,0,0,0,2
17,0,0,1,0,7,0,2015-07-27,179,51,38,239.554,31,0,0,0,8
18,1,0,0,0,7,3,2015-07-30,189,29,33,239.554,25,0,2,2,8
19,0,0,0,1,8,2,2015-08-05,248,25,47,205.917,32,0,2,1,2
20,1,0,0,0,8,2,2015-08-12,330,16,28,205.917,25,1,0,0,8
21,1,0,0,0,8,0,2015-08-03,179,51,38,205.917,31,0,0,0,1
22,1,0,0,0,8,0,2015-08-10,361,52,28,205.917,27,0,1,4,40
23,0,0,0,1,8,4,2015-08-14,260,50,36,205.917,23,0,4,0,4
24,0,0,1,0,8,0,2015-08-17,289,36,33,205.917,30,0,2,1,8
25,0,0,0,1,8,0,2015-08-24,361,52,28,205.917,27,0,1,4,7
26,0,0,0,1,8,1,2015-08-04,289,36,33,205.917,30,0,2,1,1
27,0,0,0,1,8,2,2015-08-12,157,27,29,205.917,22,0,0,0,4
28,0,0,1,0,8,2,2015-08-19,289,36,33,205.917,30,0,2,1,8
29,0,0,0,1,8,4,2015-08-28,179,51,38,205.917,31,0,0,0,2
30,0,0,1,0,8,0,2015-08-17,179,51,38,205.917,31,0,0,0,8
31,0,0,1,0,8,3,2015-08-27,235,29,48,205.917,33,0,1,5,8
32,0,0,0,1,8,3,2015-08-27,235,11,37,205.917,29,1,1,1,4
33,0,0,1,0,8,0,2015-08-17,235,29,48,205.917,33,0,1,5,8
34,0,0,0,1,8,0,2015-08-17,179,51,38,205.917,31,0,0,0,2
35,0,0,0,1,8,0,2015-08-17,361,52,28,205.917,27,0,1,4,1
36,0,0,0,1,8,1,2015-08-04,289,36,33,205.917,30,0,2,1,8
37,1,0,0,0,8,3,2015-08-20,291,50,32,205.917,23,0,0,0,4
38,0,0,0,1,8,4,2015-08-21,235,29,48,205.917,33,0,1,5,8
39,0,0,0,1,8,4,2015-08-28,260,50,36,205.917,23,0,4,0,4
40,0,0,0,1,9,1,2015-09-01,184,42,27,241.476,21,0,0,0,2
41,0,0,0,1,9,0,2015-09-07,118,10,37,241.476,28,0,0,0,4
42,0,0,0,1,9,1,2015-09-01,179,51,38,241.476,31,0,0,0,4
43,0,0,1,0,9,1,2015-09-08,235,20,43,241.476,38,0,1,0,8
44,0,0,0,1,9,2,2015-09-09,155,12,34,241.476,25,0,2,0,2
45,0,0,0,1,9,6,2015-09-13,118,10,37,241.476,28,0,0,0,3
46,0,0,0,1,9,0,2015-09-14,179,51,38,241.476,31,0,0,0,3
47,0,0,0,1,9,3,2015-09-24,291,31,40,241.476,25,0,1,1,4
48,0,0,0,1,9,4,2015-09-04,260,50,36,241.476,23,0,4,0,8
49,1,0,0,0,9,0,2015-09-14,291,31,40,241.476,25,0,1,1,32
50,0,0,0,0,9,0,2015-09-21,260,50,36,241.476,23,0,4,0,0
51,0,0,0,0,9,0,2015-09-28,225,26,28,241.476,24,0,1,2,0
52,0,0,0,1,9,1,2015-09-08,225,26,28,241.476,24,0,1,2,2
53,0,0,0,1,9,1,2015-09-15,118,10,37,241.476,28,0,0,0,2
54,0,0,0,0,9,1,2015-09-22,289,36,33,241.476,30,0,2,1,0
55,0,0,0,0,9,1,2015-09-29,118,13,50,241.476,31,0,1,0,0
56,0,0,1,0,9,2,2015-09-16,225,26,28,241.476,24,0,1,2,3
57,0,0,0,1,9,2,2015-09-23,179,51,38,241.476,31,0,0,0,3
58,0,0,0,0,9,2,2015-09-30,369,17,31,241.476,25,0,3,0,0
59,0,0,0,1,9,4,2015-09-11,248,25,47,241.476,32,0,2,1,1
60,0,0,0,1,9,4,2015-09-18,179,51,38,241.476,31,0,0,0,3
61,0,0,0,1,9,4,2015-09-25,260,50,36,241.476,23,0,4,0,4
62,0,0,0,1,10,1,2015-10-06,179,51,38,253.465,31,0,0,0,3
63,0,0,0,1,10,1,2015-10-13,118,10,37,253.465,28,0,0,0,3
64,0,0,0,0,10,2,2015-10-14,118,13,50,253.465,31,0,1,0,0
65,0,0,0,1,10,3,2015-10-15,179,26,30,253.465,19,1,0,0,1
66,0,0,0,1,10,4,2015-10-16,179,51,38,253.465,31,0,0,0,3
67,0,0,0,1,10,4,2015-10-16,225,26,28,253.465,24,0,1,2,3
68,0,0,0,1,10,1,2015-10-06,118,10,37,253.465,28,0,0,0,3
69,0,0,0,1,10,2,2015-10-14,225,26,28,253.465,24,0,1,2,2
70,0,0,0,1,10,2,2015-10-21,248,25,47,253.465,32,0,2,1,2
71,0,0,0,1,10,3,2015-10-22,291,31,40,253.465,25,0,1,1,5
72,0,0,0,1,10,2,2015-10-21,179,51,38,253.465,31,0,0,0,8
73,0,0,0,1,10,2,2015-10-21,225,26,28,253.465,24,0,1,2,3
74,0,0,1,0,10,3,2015-10-22,260,50,36,253.465,23,0,4,0,16
75,1,0,0,0,10,1,2015-10-13,291,31,40,253.465,25,0,1,1,8
76,0,0,0,1,10,1,2015-10-20,225,26,28,253.465,24,0,1,2,2
77,0,0,0,1,10,2,2015-10-21,289,36,33,253.465,30,0,2,1,8
78,0,0,0,1,10,4,2015-10-23,361,52,28,253.465,27,0,1,4,1
79,0,0,0,1,10,4,2015-10-30,260,50,36,253.465,23,0,4,0,3
80,0,0,0,1,11,3,2015-11-05,179,51,38,306.345,31,0,0,0,1
81,0,0,0,1,11,2,2015-11-04,225,26,28,306.345,24,0,1,2,1
82,1,0,0,0,11,3,2015-11-05,179,51,38,306.345,31,0,0,0,8
83,0,0,1,0,11,3,2015-11-12,179,22,40,306.345,22,1,2,0,8
84,0,0,0,1,11,3,2015-11-19,291,31,40,306.345,25,0,1,1,5
85,1,0,0,0,11,0,2015-11-02,155,12,34,306.345,25,0,2,0,32
86,0,0,0,1,11,0,2015-11-09,189,29,33,306.345,25,0,2,2,8
87,1,0,0,0,11,0,2015-11-16,291,31,40,306.345,25,0,1,1,40
88,0,0,0,1,11,2,2015-11-18,225,26,28,306.345,24,0,1,2,1
89,1,0,0,0,11,4,2015-11-20,155,12,34,306.345,25,0,2,0,8
90,0,0,0,1,11,2,2015-11-18,225,26,28,306.345,24,0,1,2,3
91,0,0,1,0,11,2,2015-11-25,179,22,40,306.345,22,1,2,0,8
92,1,0,0,0,11,4,2015-11-20,225,26,28,306.345,24,0,1,2,3
93,0,0,0,1,11,4,2015-11-27,260,50,36,306.345,23,0,4,0,4
94,0,0,0,1,11,0,2015-11-02,248,25,47,306.345,32,0,2,1,1
95,0,0,0,1,11,1,2015-11-10,225,26,28,306.345,24,0,1,2,3
96,1,0,0,0,11,2,2015-11-11,289,36,33,306.345,30,0,2,1,24
97,0,0,0,1,11,3,2015-11-26,291,31,40,306.345,25,0,1,1,3
98,0,0,0,1,12,1,2015-12-01,248,25,47,261.306,32,0,2,1,1
99,0,0,1,0,12,1,2015-12-01,118,10,37,261.306,28,0,0,0,64
100,0,0,0,1,12,2,2015-12-02,118,13,50,261.306,31,0,1,0,2
101,0,0,0,1,12,2,2015-12-02,235,11,37,261.306,29,1,1,1,8
102,0,0,0,1,12,3,2015-12-03,225,26,28,261.306,24,0,1,2,2
103,0,0,0,1,12,4,2015-12-04,260,50,36,261.306,23,0,4,0,8
104,0,0,1,0,12,1,2015-12-08,118,10,37,261.306,28,0,0,0,56
105,0,0,0,1,12,2,2015-12-09,361,52,28,261.306,27,0,1,4,8
106,0,0,0,1,12,3,2015-12-10,225,26,28,261.306,24,0,1,2,3
107,0,0,0,1,12,4,2015-12-11,260,50,36,261.306,23,0,4,0,3
108,0,0,0,1,12,1,2015-12-15,225,26,28,261.306,24,0,1,2,2
109,0,0,0,1,12,2,2015-12-16,361,52,28,261.306,27,0,1,4,8
110,0,0,0,1,12,4,2015-12-11,118,10,37,261.306,28,0,0,0,2
111,0,0,1,0,12,4,2015-12-18,246,25,41,261.306,23,0,0,0,8
112,0,0,0,1,12,4,2015-12-18,225,26,28,261.306,24,0,1,2,2
113,0,0,0,1,1,2,2016-01-06,225,26,28,308.593,24,0,1,2,1
114,0,0,1,0,1,0,2016-01-04,118,10,37,308.593,28,0,0,0,1
115,0,0,0,1,1,1,2016-01-05,118,10,37,308.593,28,0,0,0,1
116,0,0,1,0,1,1,2016-01-05,155,12,34,308.593,25,0,2,0,8
117,0,0,0,1,1,2,2016-01-06,225,26,28,308.593,24,0,1,2,2
118,0,0,0,1,1,3,2016-01-07,184,42,27,308.593,21,0,0,0,2
119,0,0,0,1,1,3,2016-01-07,225,26,28,308.593,24,0,1,2,2
120,0,0,0,1,1,4,2016-01-08,225,26,28,308.593,24,0,1,2,1
121,0,0,0,1,1,0,2016-01-11,118,10,37,308.593,28,0,0,0,2
122,0,0,0,1,1,1,2016-01-12,225,26,28,308.593,24,0,1,2,2
123,0,0,0,1,1,1,2016-01-12,118,10,37,308.593,28,0,0,0,2
124,0,0,0,1,1,2,2016-01-13,118,10,37,308.593,28,0,0,0,2
125,0,0,0,1,1,3,2016-01-14,118,10,37,308.593,28,0,0,0,2
126,0,0,0,1,1,4,2016-01-15,118,10,37,308.593,28,0,0,0,2
127,0,0,0,1,1,0,2016-01-11,118,10,37,308.593,28,0,0,0,2
128,0,0,0,1,1,1,2016-01-12,118,10,37,308.593,28,0,0,0,2
129,0,0,1,0,1,1,2016-01-12,179,26,30,308.593,19,1,0,0,8
130,0,0,1,0,1,1,2016-01-12,289,36,33,308.593,30,0,2,1,8
131,0,0,0,1,1,2,2016-01-13,118,10,37,308.593,28,0,0,0,2
132,0,0,0,1,1,3,2016-01-21,184,42,27,308.593,21,0,0,0,2
133,0,0,0,1,1,3,2016-01-28,118,10,37,308.593,28,0,0,0,2
134,0,0,0,1,1,0,2016-01-25,118,10,37,308.593,28,0,0,0,0
135,0,0,0,1,1,1,2016-01-26,225,26,28,308.593,24,0,1,2,1
136,0,0,0,1,1,3,2016-01-28,289,36,33,308.593,30,0,2,1,3
137,0,0,0,1,2,4,2016-02-05,184,42,27,302.585,21,0,0,0,1
138,1,0,0,0,2,2,2016-02-03,246,25,41,302.585,23,0,0,0,8
139,1,0,0,0,2,2,2016-02-10,179,51,38,302.585,31,0,0,0,8
140,0,0,0,1,2,3,2016-02-11,155,12,34,302.585,25,0,2,0,2
141,0,0,0,1,2,3,2016-02-11,189,29,33,302.585,25,0,2,2,8
142,0,0,0,1,2,4,2016-02-12,260,50,36,302.585,23,0,4,0,2
143,0,0,0,1,2,4,2016-02-12,289,36,33,302.585,30,0,2,1,8
144,1,0,0,0,2,0,2016-02-08,388,15,50,302.585,24,0,0,0,8
145,1,0,0,0,2,1,2016-02-09,388,15,50,302.585,24,0,0,0,8
146,0,0,0,1,2,0,2016-02-15,225,26,28,302.585,24,0,1,2,2
147,0,0,0,1,2,1,2016-02-09,225,26,28,302.585,24,0,1,2,2
148,0,0,0,1,2,1,2016-02-16,179,26,30,302.585,19,1,0,0,1
149,0,0,0,1,2,1,2016-02-23,184,42,27,302.585,21,0,0,0,8
150,0,0,0,1,2,3,2016-02-25,225,26,28,302.585,24,0,1,2,3
151,0,0,1,0,2,0,2016-02-15,330,16,28,302.585,25,1,0,0,8
152,0,0,0,1,2,1,2016-02-16,330,16,28,302.585,25,1,0,0,1
153,0,0,0,1,2,2,2016-02-17,225,26,28,302.585,24,0,1,2,1
154,0,0,1,0,2,3,2016-02-25,189,29,33,302.585,25,0,2,2,8
155,0,0,0,1,3,1,2016-03-01,291,50,32,343.25300000000004,23,0,0,0,2
156,0,0,1,0,3,1,2016-03-01,260,50,36,343.25300000000004,23,0,4,0,8
157,0,0,1,0,3,1,2016-03-08,157,27,29,343.25300000000004,22,0,0,0,3
158,0,1,0,0,3,1,2016-03-15,179,22,40,343.25300000000004,22,1,2,0,8
159,0,0,0,1,3,2,2016-03-16,291,31,40,343.25300000000004,25,0,1,1,8
160,1,0,0,0,3,2,2016-03-02,260,50,36,343.25300000000004,23,0,4,0,8
161,1,0,0,0,3,3,2016-03-03,179,26,30,343.25300000000004,19,1,0,0,8
162,1,0,0,0,3,4,2016-03-04,248,25,47,343.25300000000004,32,0,2,1,3
163,1,0,0,0,3,4,2016-03-04,260,50,36,343.25300000000004,23,0,4,0,40
164,1,0,0,0,3,0,2016-03-07,179,22,40,343.25300000000004,22,1,2,0,40
165,1,0,0,0,3,0,2016-03-14,155,12,34,343.25300000000004,25,0,2,0,16
166,0,0,0,1,3,0,2016-03-21,260,50,36,343.25300000000004,23,0,4,0,16
167,1,0,0,0,3,1,2016-03-22,155,12,34,343.25300000000004,25,0,2,0,8
168,1,0,0,0,3,3,2016-03-24,289,36,33,343.25300000000004,30,0,2,1,8
169,1,0,0,0,3,3,2016-03-24,179,22,40,343.25300000000004,22,1,2,0,8
170,0,0,0,1,3,4,2016-03-25,260,50,36,343.25300000000004,23,0,4,0,4
171,0,0,0,1,3,4,2016-03-25,225,26,28,343.25300000000004,24,0,1,2,1
172,1,0,0,0,3,0,2016-03-28,279,5,39,343.25300000000004,24,0,2,0,8
173,1,0,0,0,3,1,2016-03-29,179,51,38,343.25300000000004,31,0,0,0,24
174,0,0,0,1,3,2,2016-03-30,225,26,28,343.25300000000004,24,0,1,2,2
175,1,0,0,0,3,0,2016-03-28,225,26,28,343.25300000000004,24,0,1,2,8
176,1,0,0,0,3,0,2016-03-28,179,26,30,343.25300000000004,19,1,0,0,1
177,1,0,0,0,3,1,2016-03-29,225,26,28,343.25300000000004,24,0,1,2,8
178,1,0,0,0,3,2,2016-03-30,225,26,28,343.25300000000004,24,0,1,2,16
179,1,0,0,0,3,2,2016-03-30,179,51,38,343.25300000000004,31,0,0,0,3
180,1,0,0,0,3,3,2016-03-17,279,5,39,343.25300000000004,24,0,2,0,16
181,0,0,0,1,3,4,2016-03-18,225,26,28,343.25300000000004,24,0,1,2,2
182,1,0,0,0,3,4,2016-03-25,248,25,47,343.25300000000004,32,0,2,1,3
183,0,0,0,1,3,0,2016-03-28,225,26,28,343.25300000000004,24,0,1,2,1
184,0,0,0,1,4,2,2016-04-06,291,31,40,326.452,25,0,1,1,1
185,0,0,0,1,4,2,2016-04-13,225,26,28,326.452,24,0,1,2,1
186,0,0,0,1,4,1,2016-04-12,155,12,34,326.452,25,0,2,0,1
187,1,0,0,0,4,2,2016-04-13,246,25,41,326.452,23,0,0,0,24
188,0,0,0,1,4,3,2016-04-14,155,12,34,326.452,25,0,2,0,1
189,0,0,0,1,4,4,2016-04-15,225,26,28,326.452,24,0,1,2,2
190,0,0,0,1,4,4,2016-04-15,260,50,36,326.452,23,0,4,0,4
191,1,0,0,0,4,2,2016-04-06,179,51,38,326.452,31,0,0,0,24
